Name,GameCode
王者荣耀世界,1034888
遮天世界,4076265
卡厄思梦境,1037122
王者万象棋,1047560
天堂2：盟约,1037198
异人之下,1036898
雪中悍刀行,4075444
舞力全开：派对,4077479
全境封锁：曙光,4076246
饥困荒野,4074590
欢乐消消时光,4077567
怪物猎人：旅人,4077226
修仙时代,1036730
失控进化,1037140
影之刃零,1046431
魔刻猎手,4077782
命运扳机,1037058
星际理想国,4077056
虚环,1037092
王者荣耀星之破晓,4076345
粒粒的小人国,1037153
剑来,4077783
灰境行者,1037169
归环,4077408
穿越火线：虹,1037096
奥星热浪,1047103
彩虹六号：攻势,1047075
荒野起源,1036923
三角洲行动,1035786
地下城与勇士：起源,1035995
地下城与勇士：创新世纪,20011
暗区突围,1036423
穿越火线,10345
穿越火线：枪战王者,4040463
光与夜之恋,4073743
和平精英,1047512
火影忍者,4038895
金铲铲之战,4075117
流放之路：降临,1034722
乱世王者,4051033
逆战：未来,1037212
使命召唤手游,1034789
王者荣耀,4040522
英雄联盟,10898
英雄联盟手游,1037085
最终幻想14：水晶世界,1037061
遗忘之海,1037008
妖妖棋,4077656
星绘友晴天,1037009
无限大,1036925
山海奇旅,4077784
代号：足球,4077729
unVEIL the world,4075886
剑心雕龙,4077282
归唐,1037062
代号·世界,4073862
率土之滨,1034676
逆水寒,1000504
暗黑破坏神：不朽,1036263
天下：万象,20069
燕云十六声,1035118
大话西游3,10384
明日之后,1034803
魔兽世界,121
大话西游手游网页版,53897
大唐无双手游,4043395
第五人格,1034800
梦幻西游,118
永劫无间,1034284
暗黑破坏神4,1034238
炉石传说,1000046
守望先锋,1000380
星际争霸：重制版,1035024
大航海时代：起源,1034951
彩虹岛,4000867
永恒之塔,10243
星尘传说,10867
传奇世界之仗剑天涯H5,1044955
龙之谷,10778
传奇新百区合击-盟重神兵,1036945
泡泡堂,4054815
永恒之塔怀中怀,1037078
异环,1036689
梦幻新诛仙：轻享,1047557
反恐精英2,1000513
刀塔2,11681
幻塔,1043384
诛仙,10389
诛仙2,1035928
诛仙世界,1034725
诛仙手游,1034806
月圆之夜,1032806
名将杀,1037111
征途,10022
如鸢,4077114
三国志·战略版,1034804
三国志幻想大陆,1034792
宗师之上,4077626
魔域,1058
魔域口袋版,4036554
斗破苍穹：斗帝之路,4054201
传奇霸业,4048049
平行轨迹,4077058
我的动物公司,1038320
斗罗大陆：传承,4077771
创意咖啡店物语 (Cafe Master Story),1045935
咒术回战：幻影游行,4076605
闪耀吧！噜咪,4077659
三国：百将牌,1047556
代号：夜莺,4075194
崩坏：因缘精灵,1037119
星布谷地,1037156
雨雾之都,1037313
崩坏：星穹铁道,1035939
崩坏3,1034498
崩坏学园2,4076742
绝区零,1035854
未定事件簿,4073339
原神,1031565
万物契约,1037250
逆光潜入,4075397
百面千相,1035154
